company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
Aqgromalin,2019,Chennai,Agriculture,Cultivating Ideas for Profit,Angel investors,200000.0,Venture - Series Unknown,2020,Early Stage
Krayonnz,2019,Bangalore,Education,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,GSF Accelerator,100000.0,Pre-seed,2020,Early Stage
PadCare Labs,2018,Pune,Business,Converting bio-hazardous waste to harmless waste,Venture Center,3000000.0,Pre-seed,2020,Early Stage
NCOME,2020,New Delhi,Telecommunications,Escrow-as-a-service platform,"Venture Catalysts, PointOne Capital",400000.0,Venture - Series Unknown,2020,Early Stage
Gramophone,2016,Indore,Agriculture,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Siana Capital Management, Info Edge",340000.0,Venture - Series Unknown,2020,Early Stage
qZense,2019,Bangalore,Agriculture,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020,Early Stage
MyClassboard,2008,Hyderabad,Education,MyClassboard is a full-fledged School / College Management Software.,ICICI Bank.,600000.0,Pre-series A,2020,Established
Metvy,2018,Gurgaon,Business,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,HostelFund,3000000.0,Pre-series,2020,Early Stage
Rupeek,2015,Bangalore,Technology,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020,Established
Gig India,2017,Pune,Technology,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020,Early Stage
Slurrp Farm,2016,Gurgaon,Transport,Slurrp Farm is a children health food brand.,Fireside Ventures,2000000.0,Series A,2020,Early Stage
Medfin,2017,Bangalore,Health,Medfin is a Discovery platform for medical procedures and financing.,"Axilor Ventures, S.D. Shibulal",3000000.0,Series A,2020,Early Stage
MasterG,2015,New Delhi,Beauty & Fashion,MasterG is a design and skill development organisation.,Acumen Fund's angel programme,3000000.0,Venture - Series Unknown,2020,Established
Brila 91,2014,New Delhi,Transport,Bira 91 is a craft beer company.,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Venture - Series Unknown,2020,Established
FoodyBuddy,2015,Belgaum,Food & Beverages,FoodyBuddy is a online food delivery portal,Rebel Foods,600000.0,Venture - Series Unknown,2020,Established
Zomato,2008,Gurgaon,Food & Beverages,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Kora, Tiger Global Management",660000000.0,Venture - Series Unknown,2020,Established
OurEye.ai,2020,Bangalore,Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","100X VC, Amara Ventures",120000.0,Venture - Series Unknown,2020,Early Stage
Shiprocket,2017,New Delhi,Commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020,Early Stage
Pine Labs,1998,Noida,Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,"Mastercard, Temasek Holdings",3000000.0,Venture - Series Unknown,2020,Established
Moneyboxx Finance,2019,New Delhi,Technology,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,"BlackSoil, Caspian",1000000.0,Venture - Series Unknown,2020,Early Stage
EWar,2019,Bangalore,Manufacturing,EWar Games is a e-sports and real-time gaming start-up.,"Jindal Steels, Jeet Banerjee",3000000.0,Pre-series A,2020,Early Stage
SucSEED Indovation,2016,Hyderabad,Technology,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Venture Catalysts,5000000.0,Venture - Series Unknown,2020,Early Stage
TaxBuddy.com,2019,Mumbai,Technology,TaxBuddy for any tax related issues.,Zenith Global,1000000.0,Venture - Series Unknown,2020,Early Stage
Awign Enterprises,2016,Bangalore,Business,Operations and manpower outsourcing startup,"Unitus Ventures, Work10M",500000.0,Venture - Series Unknown,2020,Early Stage
Circle of Angels,2018,Gurgaon,Technology,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Venture Catalysts,3000000.0,Venture - Series Unknown,2020,Early Stage
CoinDCX,2017,Mumbai,Technology,CoinDCX is a company that specializes in crypto-enabled financial services.,"Coinbase Ventures, Polychain",10000000.0,Series B,2020,Early Stage
Glance,2016,Bangalore,Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Mithril Capital Management.,145000000.0,Venture - Series Unknown,2020,Early Stage
VerSe Innovation,2007,Bangalore,Telecommunications,Owner of Dailyhunt App and I-Pay,Google,100000000.0,Venture - Series Unknown,2020,Established
Voosh,2020,Bangalore,Food & Beverages,Building India's largest digital food service brand,Better Capital,3000000.0,Pre-seed,2020,Early Stage
Delhivery,2011,Gurgaon,Commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Venture - Series Unknown,2020,Established
Arya,1982,Noida,Agriculture,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",Quona Capital,21000000.0,Series B,2020,Established
Pickrr,2015,New Delhi,Transport,Pickrr is an on-demand first mile logistics company,Swastika,4000000.0,Venture - Series Unknown,2020,Established
PhonePe,2015,Andheri,Technology,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Flipkart, Walmart",20000000.0,Venture - Series Unknown,2020,Established
Countingwell,2018,Bangalore,Education,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.","Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020,Early Stage
Callify.ai,2016,Mumbai,Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,Malpani Ventures,560000.0,Seed,2020,Early Stage
Hudle,2016,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Survam Partners,3000000.0,Pre-series A,2020,Early Stage
Cover it Up,2013,Chennai,Commerce,Online portal that churns out high quality products,Angel investors,400000.0,Seed,2020,Established
BiteSpeed,2019,Gurgaon,Commerce,Chat-based commerce for E-commerce brands,Whiteboard Capital,275000.0,Seed,2020,Early Stage
WakeFit,2016,Bangalore,Commerce,Wakefitkart is a mattress manufacturing company,Sequoia Capital.,20000000.0,Series B,2020,Early Stage
Sreyas Holistic Remedies,2008,Hyderabad,Education,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Blacksoil,1000000.0,Venture - Series Unknown,2020,Established
Fleeca India,2016,Jaipur,Transport,FLEECA is a Tyre Care Provider company.,Bridgestone India,3000000.0,Venture - Series Unknown,2020,Early Stage
M1xchange,2017,Gurgaon,Technology,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,"BEENEXT, Mayfield Fund",4500000.0,Venture - Series Unknown,2020,Early Stage
Exotel,2011,Bangalore,Technology,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,"A91 Partners, Artha India Ventures",5000000.0,Venture - Series Unknown,2020,Established
PagarBook,2019,Bangalore,Technology,"Staff's Salary, Work & Attendance Management Application","Sequoia Capital, India Quotient",15000000.0,Series A,2020,Early Stage
PointOne Capital,2020,Bangalore,Technology,Pre-seed/Seed focussed VC investor,Venture Catalysts,3000000.0,Venture - Series Unknown,2020,Early Stage
